Source,Target,Type,Industry
450432230,terraform,Undirected,Internettbaserte tjenester
455216208,analysere data,Undirected,Bygg og anlegg
455216208,application programming interfaces (apis),Undirected,Bygg og anlegg
455216208,automatisering,Undirected,Bygg og anlegg
455216208,database,Undirected,Bygg og anlegg
455216208,internet of things,Undirected,Bygg og anlegg
455087448,general data protection regulation (gdpr),Undirected,IT
455087448,informatikk,Undirected,IT
455087448,kunstig intelligens,Undirected,IT
455087448,risikovurdering,Undirected,IT
455087448,store språkmodeller,Undirected,IT
454942526,maskinlæring,Undirected,IT
454939246,administrere data,Undirected,IT
454939246,automatisering,Undirected,IT
454939246,database,Undirected,IT
454939246,digitalisering,Undirected,IT
454939246,javascript,Undirected,IT
454939246,kunstig intelligens,Undirected,IT
454939246,kvalitetssikring,Undirected,IT
454939246,servicenow,Undirected,IT
454882043,kjennskap til skyplattformer,Undirected,IT - programvare
454882043,kunstig intelligens,Undirected,IT - programvare
454882043,moderne software-utvikling,Undirected,IT - programvare
454793708,analysere data,Undirected,Internettbaserte tjenester
454793708,dataanalyseverktøy,Undirected,Internettbaserte tjenester
454793708,markedsanalyse,Undirected,Internettbaserte tjenester
454793708,modellering (økonomi),Undirected,Internettbaserte tjenester
454777694,analyser av nøkkeltall,Undirected,Butikk og varehandel
454777694,analysere data,Undirected,Butikk og varehandel
454777694,automatisering,Undirected,Butikk og varehandel
454777694,bruke verktøy,Undirected,Butikk og varehandel
454777694,customer relationship management (crm),Undirected,Butikk og varehandel
454777694,digital commerce,Undirected,Butikk og varehandel
454753202,installasjon,Undirected,Industri og produksjon
454753202,nettverksinfrastruktur,Undirected,Industri og produksjon
454752898,dokumentasjon,Undirected,Industri og produksjon
454752652,ingeniørarbeid,Undirected,Industri og produksjon
454752652,nordisk spåk,Undirected,Industri og produksjon
454752652,prosjekteringsledelse,Undirected,Industri og produksjon
454734559,bruke verktøy,Undirected,Bank
454734559,digitale ferdigheter,Undirected,Bank
454734559,utvikling av digitale verktøy,Undirected,Bank
454731329,kjennskap til skyplattformer,Undirected,IT
454731329,kunnskap om produktledelse,Undirected,IT
454731329,kunnskap om relevante lover og forskrifter,Undirected,IT
454731329,produktkø (product backlog),Undirected,IT
454628298,automatisering,Undirected,Medie- og innholdsproduksjon
454628298,ci/cd (continuous integration and continuous delivery),Undirected,Medie- og innholdsproduksjon
454628298,data modeling,Undirected,Medie- og innholdsproduksjon
454628298,dataarkitektur,Undirected,Medie- og innholdsproduksjon
454628298,kjennskap til skyplattformer,Undirected,Medie- og innholdsproduksjon
454628298,kunstig intelligens,Undirected,Medie- og innholdsproduksjon
454598857,automatisering,Undirected,Juridiske tjenester
454598857,digitale ferdigheter,Undirected,Juridiske tjenester
454570064,datadrevet markedsføring,Undirected,Markedsføring og annonsering
454570064,google analytics,Undirected,Markedsføring og annonsering
454570064,segmentere,Undirected,Markedsføring og annonsering
454570064,social media,Undirected,Markedsføring og annonsering
454565056,dataintegrasjonsprosesser,Undirected,IT
454565056,felling,Undirected,IT
454565056,kjennskap til skyplattformer,Undirected,IT
454565056,kunstig intelligens,Undirected,IT
454565056,kvalitetssikring,Undirected,IT
454093619,brukbarhetstesting,Undirected,HR
454093619,prototype,Undirected,HR
454074364,bedriftsøkonomi,Undirected,Butikk og varehandel
454074364,kontinuerlig forbedringsarbeid,Undirected,Butikk og varehandel
454074364,prognoser,Undirected,Butikk og varehandel
454074364,standardisere prosesser,Undirected,Butikk og varehandel
454070518,kunstig intelligens,Undirected,Internettbaserte tjenester
454070518,optimalisering av konvertering,Undirected,Internettbaserte tjenester
454070518,produsere innhold,Undirected,Internettbaserte tjenester
454070518,social media,Undirected,Internettbaserte tjenester
454041636,figma,Undirected,Konsulent og rådgivning
454041636,kvalitetssikring,Undirected,Konsulent og rådgivning
454041636,produsere innhold,Undirected,Konsulent og rådgivning
454032597,analysere data,Undirected,Internettbaserte tjenester
454032597,due diligence analyse,Undirected,Internettbaserte tjenester
454032597,kunstig intelligens,Undirected,Internettbaserte tjenester
454027822,c# (programmeringsspråk),Undirected,IT
454027822,java (programmeringsspråk),Undirected,IT
454027822,python (dataprogrammering),Undirected,IT
454027822,sql,Undirected,IT
453711104,a/b-testing (konverteringsoptimalisering),Undirected,Butikk og varehandel
453711104,digital commerce,Undirected,Butikk og varehandel
453711104,google adwords,Undirected,Butikk og varehandel
